,eventimage,eventtitle,placename,cityname,eventstartdate,eventDescripton
15,https://images.discotech.me/events/37189434/37a0dcc7-d537-47a7-afdc-70f8f598cd82.jpeg?auto=format%2Ccompress,Azilo Ultra Pool Friday,Azilo Ultra Pool,Las Vegas,"Friday, July 29, 2022 10:00 AM","Bottle Service
Bottle Menu Unavailable Floor Plan
Table Reservations close at 8 am
Lounge Chair
1 GUESTS | $75.00 MIN
Remaining F&B minimum spend plus sales tax & gratuity due upon arrival - additional to 20% deposit, Chair purchase includes an umbrella
All Entry to Azilo Ultra Pool is complimentary with the purchase of a chaise lounge
All juice and soda mixers are included with the purchase of a bottle
The exact location will be determined when you arrive at the door
Maximum capacity of 1 person per lounge chair
Azilo Ultra Pool will be aged 21+ daily
Daybeds Spa
4 GUESTS | $250.00 MIN
Remaining F&B minimum spend plus sales tax & gratuity due upon arrival - additional to 20% deposit
Entry to Azilo Ultra Pool is complimentary with the purchase of Spa Day Bed
All juice and soda mixers are included with the purchase of a bottle
Exact location will be determined when you arrive at the door
Maximum capacity of 4 person(s) per Spa Day Bed
Azilo Ultra Pool will be aged 21+ daily
Lilypads
4 GUESTS | $399.00 MIN
Remaining F&B minimum spend plus sales tax & gratuity due upon arrival - additional to 20% deposit
Entry to Azilo Ultra Pool is complimentary with the purchase of Lily Pad
All juice and soda mixers are included with the purchase of a bottle
Exact location will be determined when you arrive at the door
Maximum capacity of 4 person(s) per Lily Pad
Azilo Ultra Pool will be aged 21+ daily
Daybeds
4 GUESTS | $500.00 MIN
Remaining F&B minimum spend plus sales tax & gratuity due upon arrival - additional to 20% deposit
Entry to Azilo Ultra Pool is complimentary with the purchase of a Pool Day Bed All juice and soda mixers are included with the purchase of a bottle
Exact location will be determined when you arrive at the door
Maximum capacity of 4 person(s) per Pool Day Bed
Azilo Ultra Pool will be aged 21+ daily
Cabanas
10 GUESTS | $1,300.00 MIN SOLD OUT
Azilo Ultra Pool Cabanas include 2 Sun Loungers out front of Cabana, TV, Sounds System, Fridge & Couch, Misting Fans, Exclusive Pool.
Remaining F&B minimum spend plus sales tax & gratuity due upon arrival - additional to 20% deposit
Entry to Azilo Ultra Pool is complimentary with the purchase of a Pool Day Bed All juice and soda mixers are included with the purchase of a bottle
Exact location will be determined when you arrive at the door
Maximum capacity of 10 person(s) per Cabana
Azilo Ultra Pool will be aged 21+ daily
Bungalow
12 GUESTS | $1,300.00 MIN
Azilo Ultra Pool Bungalows include 2 Sun Loungers out front of Cabana, TV, Sounds System, Fridge & Couch, Misting Fans, Exclusive Pool.
Remaining F&B minimum spend plus sales tax & gratuity due upon arrival - additional to 20% deposit
Entry to Azilo Ultra Pool is complimentary with the purchase of a Pool Day Bed All juice and soda mixers are included with the purchase of a bottle
Exact location will be determined when you arrive at the door
Maximum capacity of 15 person(s) per Bungalow
Azilo Ultra Pool will be aged 21+ daily"
16,https://images.discotech.me/events/37164707/a5b9ea98-b03a-406a-8851-52df9a4ebe60.jpeg?auto=format%2Ccompress,"Cash Cash, Esther Anaya",AYU Dayclub,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Use promo code DISCO to get a 10% discount off your tickets!
View Tickets"
17,https://images.discotech.me/events/37179069/ddb5ea63-6b40-4832-b5bb-5f874cbd50da.jpg?auto=format%2Ccompress,DJ Buza,Liquid,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Tickets available online.
View Tickets"
18,https://images.discotech.me/events/37179178/c2af72ca-6b9b-4648-ac3a-35cd2b587a0a.jpg?auto=format%2Ccompress,DJ Spider,Marquee Dayclub,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Tickets available online.
View Tickets"
19,https://images.discotech.me/events/37168830/0be26c5b-270c-410d-a21c-fbe759e425a4.jpeg?auto=format%2Ccompress,Kat Nova,Encore Beach Club (EBC),Las Vegas,"Friday, July 29, 2022 11:00 AM","Bottle Service
Bottle Menu Unavailable Floor Plan
Table Reservations close at 9 am
Lily Pad
6 GUESTS | $1,000.00 MIN
Tables 400-421. Table with umbrella located on the pool. Minimum can be spent on Beverage ONLY
Daybed
8 GUESTS | $1,000.00 MIN
Tables 300-320. Large daybed and table.
Gaming Pavilion Table
6 GUESTS | $1,000.00 MIN
Tables G1-G8. Shaded table located under gaming pavilion
Beach Couch
6 GUESTS | $1,000.00 MIN
Tables 500-535. Small sized couch and table on pool deck. 20% deposit required to secure your reservation.
Center Pool Lily Pad
8 GUESTS | $1,500.00 MIN
Tables 400-421. Table with umbrella located in the center of the pool. 20% deposit required to secure your reservation.
L Couch
8 GUESTS | $1,500.00 MIN
L shaped couch located near middle of venue. 20% deposit required to secure your reservation.
Upper Cabana
10 GUESTS | $2,000.00 MIN
Tables 200-213. Cabana located on the second floor. 20% deposit required to secure your reservation.
Water Couch
10 GUESTS | $2,000.00 MIN
Tables 600-603. Prime Couch located in the pool, front and center of DJ. 20% deposit required to secure your reservation.
Center L Couch
8 GUESTS | $2,000.00 MIN
Table 604-605. L shaped couch located in the center of the venue. 20% deposit required to secure your reservation.
Lower Cabana
12 GUESTS | $2,500.00 MIN
Tables 100-113. Cabana located on the main floor. 20% deposit required to secure your reservation.
Dance Floor Water Couch
10 GUESTS | $2,500.00 MIN
Dance Floor Section
10 GUESTS | $2,500.00 MIN
Upper Bungalow
12 GUESTS | $3,500.00 MIN
Tables 5-8. Super sized cabana located on second floor. 20% deposit required to secure your reservation.
Lower Bungalow
15 GUESTS | $7,000.00 MIN
Tables 1-4. Super sized cabana w/ a private pool AND bathroom on main floor. 20% deposit required to secure your reservation."
20,https://images.discotech.me/events/37187457/2c376ee6-24ee-4461-a1d4-592829abcf3d.jpeg?auto=format%2Ccompress,Lucky Lou,Drai's Beach Club,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Use promo code DISCO to save 10% on your ticket purchase! Promo code only valid for certain events.
View Tickets"
21,https://images.discotech.me/events/37179099/450419bf-0ce0-4c53-bd6b-1e5b1bc8827b.jpg?auto=format%2Ccompress,Mike Attack - Playboy Summer Search,Wet Republic,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Tickets available online.
View Tickets"
22,https://images.discotech.me/events/37179166/15031ae3-e20f-4c83-958c-7223de99e887.jpg?auto=format%2Ccompress,Party Favor,Tao Beach,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Tickets available online.
View Tickets"
23,https://images.discotech.me/events/37189459/19f6eef4-0fe0-476f-8e3c-b8a8a3966296.jpg?auto=format%2Ccompress,Phoreyz,Daylight,Las Vegas,"Friday, July 29, 2022 11:00 AM","Tickets
Use promo code DISCO to save $2 on your ticket purchase!
View Tickets"
24,https://images.discotech.me/venue_template/f1f5ee87-84a8-426c-a0e7-b9f1df3fa5f9.jpg?auto=format%2Ccompress,Las Vegas Pool Crawl,Las Vegas Pool Crawl,Las Vegas,"Friday, July 29, 2022 11:30 AM","Event Details
Pool tour
11:30am- Check in at Go Pool at The Flamingo
2nd Pool- To be announced
3rd Pool- Elia Beach club at The Virgin hotel
You will arrive at the last pool between 2:30-3 pm. The tour ends at the last pool.
Package Includes:
Admission to 3 pool parties
Party bus transportation to the pools
Complimentary drinks and waters
Party hosts"
