,urls
85,https://app.discotech.me/events/37192643-saturday-pool-party-at-altitude-pool
86,https://app.discotech.me/events/37142430-play-pool-party-at-the-clevelander
87,https://app.discotech.me/events/37192765-kaori-saturdays-at-kaori
88,https://app.discotech.me/events/37192712-chi-dinner-party-at-chi
89,https://app.discotech.me/events/37228764-living-room-saturdays-at-living-room-bar
90,https://app.discotech.me/events/37192325-baoli-saturdays-at-baoli
91,https://app.discotech.me/events/37192502-el-tucan-saturdays-at-el-tucan
92,https://app.discotech.me/events/37225093-mandrake-saturdays-at-mandrake
93,https://app.discotech.me/events/37192583-marion-saturdays-at-marion
94,https://app.discotech.me/events/37214024-social-saturdays-at-no-3-social-rooftop
95,https://app.discotech.me/events/37191994-centro-saturdays-at-centro-wynwood
96,https://app.discotech.me/events/37166936-daddy-yankee-la-ultima-vuelta-world-tour-at-ftx-arena
97,https://app.discotech.me/events/37192491-mau-saturdays-at-mau
98,https://app.discotech.me/events/37191497-savi-at-e11even
99,https://app.discotech.me/events/37217300-euphoric-saturdays-at-da-cave
100,https://app.discotech.me/events/37249266-ground-zero-at-treehouse
101,https://app.discotech.me/events/37242425-massane-at-treehouse
102,https://app.discotech.me/events/37221160-miami-booze-cruise-1-miami-party-boat-package-at-boat-party-booze-cruise
103,https://app.discotech.me/events/37249726-road-to-iii-points-orlando-mystic-bill-at-miami-concerts-and-events
104,https://app.discotech.me/events/37191540-katana-saturdays-at-komodo-lounge
105,https://app.discotech.me/events/37249591-saturdays-feat-felix-leonhotsawce-more-at-le-rouge
106,https://app.discotech.me/events/37242900-valentin-huedo-all-day-i-dream-road-to-burning-man-at-do-not-sit-on-the-furniture
107,https://app.discotech.me/events/37214818-miami-nightclub-package-at-miami-club-crawl
108,https://app.discotech.me/events/37249963-bresh-miami-at-the-ground
109,https://app.discotech.me/events/37250423-ennio-skoto-differ-nicole-gallamini-at-floyd
110,https://app.discotech.me/events/37225444-kodak-black-at-story
111,https://app.discotech.me/events/37237420-let-them-eat-cake-at-mad-club
112,https://app.discotech.me/events/37238490-nicola-cruz-dj-and-dj-python-b2b-nick-leon-at-space-terrace
113,https://app.discotech.me/events/37192569-saturdays-at-tucandela
114,https://app.discotech.me/events/37191765-snl-saturdays-at-exchange-miami
115,https://app.discotech.me/events/37192460-swan-saturdays-at-swan
116,https://app.discotech.me/events/37191592-vice-saturdays-at-mr-jones
117,https://app.discotech.me/events/37225455-timmy-trumpet-at-liv
118,https://app.discotech.me/events/37192633-vendome-saturdays-at-vendome-miami
119,https://app.discotech.me/events/37191545-mynt-saturdays-at-mynt
120,https://app.discotech.me/events/37191479-sls-sundays-at-hyde-beach
121,https://app.discotech.me/events/37191494-surfcomber-sundays-at-surfcomber-hotel
122,https://app.discotech.me/events/37192786-bottled-blonde-sundays-at-blottled-blonde
123,https://app.discotech.me/events/37192626-don-hot-and-iron-lyon-at-strawberry-moon
124,https://app.discotech.me/events/37191483-nikki-beach-sundays-at-nikki-beach
125,https://app.discotech.me/events/37192644-sunday-pool-party-at-altitude-pool
126,https://app.discotech.me/events/37227546-play-pool-party-at-the-clevelander
127,https://app.discotech.me/events/37210314-sundays-are-lucky-at-1-800-lucky
128,https://app.discotech.me/events/37192766-kaori-sundays-at-kaori
129,https://app.discotech.me/events/37192713-chi-dinner-at-chi
130,https://app.discotech.me/events/37238520-el-mato-a-un-policia-motorizado-orua-at-the-ground
131,https://app.discotech.me/events/37214040-social-sundays-at-no-3-social-rooftop
132,https://app.discotech.me/events/37191995-centro-sundays-at-centro-wynwood
133,https://app.discotech.me/events/37192492-mau-sundays-at-mau
134,https://app.discotech.me/events/37192771-sunday-vibez-at-rosario
135,https://app.discotech.me/events/37249970-lost-minds-slugg-chris-clark-leyva-and-ms-mada-at-floyd
136,https://app.discotech.me/events/37191498-rascal-at-e11even
137,https://app.discotech.me/events/37246653-sunday-sessions-at-treehouse
138,https://app.discotech.me/events/37191767-cachete-sundays-at-exchange-miami
139,https://app.discotech.me/events/37217029-miami-nightclub-package-at-miami-club-crawl
140,https://app.discotech.me/events/37191589-tease-sundays-at-mr-jones
141,https://app.discotech.me/events/37191480-sundays-at-liv
142,https://app.discotech.me/events/37195505-surfcomber-mondays-at-surfcomber-hotel
143,https://app.discotech.me/events/37195501-less-mondays-at-nikki-beach
144,https://app.discotech.me/events/37222368-strawberry-moon-mondays-at-strawberry-moon
145,https://app.discotech.me/events/37196733-chi-dinner-at-chi
146,https://app.discotech.me/events/37194873-rock-star-karaoke-at-the-clevelander
147,https://app.discotech.me/events/37195558-komodo-lounge-mondays-at-komodo-lounge
148,https://app.discotech.me/events/37218921-miami-nightclub-package-at-miami-club-crawl
149,https://app.discotech.me/events/37196476-swan-mondays-at-swan
150,https://app.discotech.me/events/37196654-vendome-mondays-at-vendome-miami
151,https://app.discotech.me/events/37195563-party-dinner-myntu-at-mynt
152,https://app.discotech.me/events/37195506-surfcomber-tuesdays-at-surfcomber-hotel
153,https://app.discotech.me/events/37195502-nikki-beach-tuesdays-at-nikki-beach
154,https://app.discotech.me/events/37222369-strawberry-moon-tuesdays-at-strawberry-moon
155,https://app.discotech.me/events/37196780-kaori-tuesdays-at-kaori
156,https://app.discotech.me/events/37196734-chi-dinner-at-chi
157,https://app.discotech.me/events/37228780-living-room-tuesdays-at-living-room-bar
158,https://app.discotech.me/events/37086797-red-hot-chili-peppers-2022-world-tour-at-hard-rock-stadium
159,https://app.discotech.me/events/37196344-baoli-tuesdays-at-baoli
160,https://app.discotech.me/events/37170969-daddy-yankee-la-ultima-vuelta-world-tour-at-ftx-arena
161,https://app.discotech.me/events/37196513-mau-tuesdays-at-mau
162,https://app.discotech.me/events/37196807-bottled-blonde-tuesdays-at-blottled-blonde
163,https://app.discotech.me/events/37195608-purge-tuesdays-at-mr-jones
164,https://app.discotech.me/events/37195507-surfcomber-wednesdays-at-surfcomber-hotel
165,https://app.discotech.me/events/37195503-nikki-beach-wednesdays-at-nikki-beach
166,https://app.discotech.me/events/37222370-strawberry-moon-wednesdays-at-strawberry-moon
167,https://app.discotech.me/events/37196781-kaori-wednesdays-at-kaori
168,https://app.discotech.me/events/37196728-chi-dinner-at-chi
169,https://app.discotech.me/events/37196518-el-tucan-wednesdays-at-el-tucan
170,https://app.discotech.me/events/37225046-ladies-wednesdays-at-mandrake
171,https://app.discotech.me/events/37196601-marion-wednesdays-at-marion
172,https://app.discotech.me/events/37196340-my-boyfriend-is-out-of-town-at-baoli
173,https://app.discotech.me/events/37213977-social-wednesdays-at-no-3-social-rooftop
174,https://app.discotech.me/events/37196512-mau-wednesdays-at-mau
175,https://app.discotech.me/events/37196804-bottled-blonde-wednesdays-at-blottled-blonde
176,https://app.discotech.me/events/37195559-komodo-wednesdays-at-komodo-lounge
177,https://app.discotech.me/events/37195508-surfcomber-thursdays-at-surfcomber-hotel
178,https://app.discotech.me/events/37195504-nikki-beach-thursdays-at-nikki-beach
179,https://app.discotech.me/events/37241840-strawberry-moon-thursdays-at-strawberry-moon
180,https://app.discotech.me/events/37196782-kaori-thursdays-at-kaori
181,https://app.discotech.me/events/37196729-chi-dinner-party-at-chi
182,https://app.discotech.me/events/37228796-living-room-thursdays-at-living-room-bar
183,https://app.discotech.me/events/37196341-baoli-thursdays-at-baoli
184,https://app.discotech.me/events/37196519-el-tucan-thursdays-at-el-tucan
185,https://app.discotech.me/events/37225062-mandrake-thursdays-at-mandrake
186,https://app.discotech.me/events/37194874-noche-caliente-at-the-clevelander
187,https://app.discotech.me/events/37217269-rnb-thursdays-at-da-cave
188,https://app.discotech.me/events/37213993-social-thursdays-at-no-3-social-rooftop
189,https://app.discotech.me/events/37196600-thursday-soiree-at-marion
190,https://app.discotech.me/events/37196010-centro-latin-thursdays-at-centro-wynwood
191,https://app.discotech.me/events/37195512-ldw-ft-a-train-at-e11even
192,https://app.discotech.me/events/37196509-mau-thursdays-at-mau
193,https://app.discotech.me/events/37196808-bottled-blonde-thursdays-at-blottled-blonde
194,https://app.discotech.me/events/37250424-davis-tiffyvera-sinopoli-and-maccabi-at-floyd
195,https://app.discotech.me/events/37238491-septembership-2022-at-space-terrace
196,https://app.discotech.me/events/37249592-thursdays-feat-proper-at-le-rouge
197,https://app.discotech.me/events/37218923-miami-nightclub-package-at-miami-club-crawl
198,https://app.discotech.me/events/37195610-ladies-thursdays-at-mr-jones
199,https://app.discotech.me/events/37196478-pasarela-dinner-party-at-swan
200,https://app.discotech.me/events/37242457-thursdays-at-liv
201,https://app.discotech.me/events/37195560-mynt-thursdays-at-mynt
202,https://app.discotech.me/events/37248594-nicolas-rada-at-treehouse
203,https://app.discotech.me/events/37196643-fridays-at-the-pool-at-strawberry-moon
204,https://app.discotech.me/events/37195494-retreat-fridays-at-hyde-beach
205,https://app.discotech.me/events/37195509-surfcomber-fridays-at-surfcomber-hotel
206,https://app.discotech.me/events/37195498-nikki-beach-fridays-at-nikki-beach
207,https://app.discotech.me/events/37196783-kaori-fridays-at-kaori
208,https://app.discotech.me/events/37196730-chi-dinner-party-at-chi
209,https://app.discotech.me/events/37228812-living-room-fridays-at-living-room-bar
210,https://app.discotech.me/events/37196342-baoli-fridays-at-baoli
211,https://app.discotech.me/events/37196520-el-tucan-fridays-at-el-tucan
212,https://app.discotech.me/events/37225078-mandrake-fridays-at-mandrake
213,https://app.discotech.me/events/37196603-marion-fridays-at-marion
214,https://app.discotech.me/events/37214009-social-fridays-at-no-3-social-rooftop
215,https://app.discotech.me/events/37196011-centro-fridays-at-centro-wynwood
216,https://app.discotech.me/events/37195513-ldw-ft-dj-snake-at-e11even
217,https://app.discotech.me/events/37196508-mau-fridays-at-mau
218,https://app.discotech.me/events/37217285-flash-fridays-at-da-cave
219,https://app.discotech.me/events/37221162-miami-booze-cruise-1-miami-party-boat-package-at-boat-party-booze-cruise
220,https://app.discotech.me/events/37196805-bottled-blonde-fridays-at-blottled-blonde
221,https://app.discotech.me/events/37249593-fridays-feat-brady-walterszaksonder-more-at-le-rouge
222,https://app.discotech.me/events/37242940-haus-of-hyde-chus-labor-day-weekend-2022-at-hyde-lounge
223,https://app.discotech.me/events/37195556-komodo-fridays-at-komodo-lounge
224,https://app.discotech.me/events/37219019-miami-nightclub-package-at-miami-club-crawl
225,https://app.discotech.me/events/37195607-baller-fridays-at-mr-jones
226,https://app.discotech.me/events/37238492-camelphat-and-ben-bohmer-live-at-space-terrace
227,https://app.discotech.me/events/37237446-long-live-the-queen-at-mad-club
228,https://app.discotech.me/events/37238517-paco-osuna-and-alexi-delano-at-floyd
229,https://app.discotech.me/events/37196477-swan-fridays-at-swan
230,https://app.discotech.me/events/37195782-yes-fridays-at-exchange-miami
231,https://app.discotech.me/events/37241647-zedd-at-story
232,https://app.discotech.me/events/37242458-gucci-mane-at-liv
233,https://app.discotech.me/events/37196652-vendome-fridays-at-vendome-miami
234,https://app.discotech.me/events/37195561-mynt-fridays-at-mynt
235,https://app.discotech.me/events/37196573-villa-del-sol-saturdays-at-baia-beach-club
236,https://app.discotech.me/events/37195510-surfcomber-saturdays-at-surfcomber-hotel
237,https://app.discotech.me/events/37195495-swim-club-saturdays-at-hyde-beach
